Sección 2.3.1 -> Semilla 2

learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
600000.0,3.070797,7.964093057355947E-7,600000.0,82.69216666666667,65.36833115198962,65.3414722873954,63.97666133614545,600000.0,1769440.0,895.0,448.0,448.0,15.0,0.0,0.0,1.0
700000.0,3.542397,1.043996859892375E-6,700000.0,81.56714285714285,63.10175999373362,63.104031019721894,61.65470512191861,700000.0,2029352.0,1027.0,514.0,514.0,15.0,0.0,0.0,1.0
800000.0,4.008483,1.3166981320745417E-6,800000.0,80.49775,60.944111254584755,60.962708675287246,59.41808080072415,800000.0,2261640.0,1147.0,574.0,574.0,15.0,0.0,0.0,1.0
900000.0,4.490157,1.637263311437435E-6,900000.0,80.20811111111111,60.3625421996555,60.376686960989964,58.81799434035548,900000.0,2572560.0,1301.0,651.0,651.0,16.0,0.0,0.0,1.0
1000000.0,5.031471,2.0317411731100746E-6,1000000.0,79.6246,59.17530902069852,59.20391634714534,57.571580284447045,1000000.0,2816928.0,1431.0,716.0,716.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1100000.0,5.522655,2.426911526165075E-6,1100000.0,79.30181818181819,58.52428630166451,58.560011357410815,56.89886908750849,1100000.0,3109872.0,1573.0,787.0,787.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1200000.0,6.005952,2.843457073412008E-6,1200000.0,79.065,58.03884577567167,58.08256343428646,56.390867808190634,1200000.0,3331584.0,1687.0,844.0,844.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1300000.0,6.501628,3.301828080697192E-6,1300000.0,78.55623076923078,57.00816075286741,57.063315548874414,55.338578589932766,1300000.0,3574552.0,1803.0,902.0,902.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1400000.0,7.019236,3.818039369864596E-6,1400000.0,78.51685714285715,56.926968162355415,56.999129299708194,55.24771450338063,1400000.0,3855040.0,1953.0,977.0,977.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1500000.0,7.548934,4.383942847607864E-6,1500000.0,78.37906666666666,56.644490343437795,56.7100526317897,54.96139317853571,1500000.0,4129680.0,2083.0,1042.0,1042.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1600000.0,8.073878,4.975870705503556E-6,1600000.0,78.179625,56.23409782027282,56.29757495265192,54.52827411769149,1600000.0,4358712.0,2211.0,1106.0,1106.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1700000.0,8.593984,5.595804641938043E-6,1700000.0,78.1484705882353,56.173794235775134,56.237320961969374,54.45851165949684,1700000.0,4607400.0,2331.0,1166.0,1166.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1800000.0,9.128423,6.26294776180759E-6,1800000.0,77.8921111111111,55.65427189668869,55.72440096841954,53.90204262249885,1800000.0,4825288.0,2439.0,1220.0,1220.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1900000.0,9.656251,6.948452374366008E-6,1900000.0,77.6741052631579,55.21786877519755,55.28801407368448,53.443000074633105,1900000.0,5020192.0,2549.0,1275.0,1275.0,17.0,3806.2346368715084,0.0,1.0336349065631807
2000000.0,10.309099,7.837303883261565E-6,2000000.0,77.45455,54.775772347188635,54.852665832290356,52.981040548741696,2000000.0,5262832.0,2661.0,1331.0,1331.0,17.0,3826.031555221638,0.0,1.0334581717869284
Sección 2.3.1 -> Semilla 4

learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,0.766682,6.612060306386815E-8,100000.0,89.717,79.4350879496552,79.32566649242028,78.58778943861402,100000.0,333368.0,169.0,85.0,85.0,12.0,0.0,0.0,1.0
200000.0,1.267339,1.540908070943422E-7,200000.0,86.25500000000001,72.51064541980726,72.45408178602564,71.4089590115342,200000.0,679200.0,345.0,173.0,173.0,12.0,0.0,0.0,1.0
300000.0,1.746202,2.7551320268876027E-7,300000.0,85.68666666666667,71.41289096145691,71.3590128397532,70.2274886117024,300000.0,980144.0,499.0,250.0,250.0,14.0,0.0,0.0,1.0
400000.0,2.171724,4.1020881138741973E-7,400000.0,84.75399999999999,69.53684750873573,69.47732471133489,68.27649347676812,400000.0,1223584.0,619.0,310.0,310.0,14.0,0.0,0.0,1.0
500000.0,2.620509,5.839581382088364E-7,500000.0,82.9476,65.88678301946264,65.87841217879196,64.4945822818546,500000.0,1496536.0,761.0,381.0,381.0,15.0,0.0,0.0,1.0
600000.0,3.077959,7.933583429435063E-7,600000.0,82.69216666666667,65.36833115198962,65.3414722873954,63.97666133614545,600000.0,1769440.0,895.0,448.0,448.0,15.0,0.0,0.0,1.0
700000.0,3.535192,1.0334032966113755E-6,700000.0,81.56714285714285,63.10175999373362,63.104031019721894,61.65470512191861,700000.0,2029352.0,1027.0,514.0,514.0,15.0,0.0,0.0,1.0
800000.0,4.000464,1.3056283072547783E-6,800000.0,80.49775,60.944111254584755,60.962708675287246,59.41808080072415,800000.0,2261640.0,1147.0,574.0,574.0,15.0,0.0,0.0,1.0
900000.0,4.486599,1.6291623852195014E-6,900000.0,80.20811111111111,60.3625421996555,60.376686960989964,58.81799434035548,900000.0,2572560.0,1301.0,651.0,651.0,16.0,0.0,0.0,1.0
1000000.0,5.043419,2.0349401093067398E-6,1000000.0,79.6246,59.17530902069852,59.20391634714534,57.571580284447045,1000000.0,2816928.0,1431.0,716.0,716.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1100000.0,5.53638,2.431540105260081E-6,1100000.0,79.30181818181819,58.52428630166451,58.560011357410815,56.89886908750849,1100000.0,3109872.0,1573.0,787.0,787.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1200000.0,6.040562,2.866086082375712E-6,1200000.0,79.065,58.03884577567167,58.08256343428646,56.390867808190634,1200000.0,3331584.0,1687.0,844.0,844.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1300000.0,6.539893,3.3278370112863685E-6,1300000.0,78.55623076923078,57.00816075286741,57.063315548874414,55.338578589932766,1300000.0,3574552.0,1803.0,902.0,902.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1400000.0,7.050347,3.836913604771512E-6,1400000.0,78.51685714285715,56.926968162355415,56.999129299708194,55.24771450338063,1400000.0,3855040.0,1953.0,977.0,977.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1500000.0,7.566659,4.3885161337608266E-6,1500000.0,78.37906666666666,56.644490343437795,56.7100526317897,54.96139317853571,1500000.0,4129680.0,2083.0,1042.0,1042.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1600000.0,8.088976,4.977481781434682E-6,1600000.0,78.179625,56.23409782027282,56.29757495265192,54.52827411769149,1600000.0,4358712.0,2211.0,1106.0,1106.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1700000.0,8.600977,5.587755063012657E-6,1700000.0,78.1484705882353,56.173794235775134,56.237320961969374,54.45851165949684,1700000.0,4607400.0,2331.0,1166.0,1166.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1800000.0,9.123832,6.240437812474039E-6,1800000.0,77.8921111111111,55.65427189668869,55.72440096841954,53.90204262249885,1800000.0,4825288.0,2439.0,1220.0,1220.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1900000.0,9.649022,6.922516382518742E-6,1900000.0,77.6741052631579,55.21786877519755,55.28801407368448,53.443000074633105,1900000.0,5020192.0,2549.0,1275.0,1275.0,17.0,3806.2346368715084,0.0,1.0336349065631807
2000000.0,10.298342,7.80656452505125E-6,2000000.0,77.45455,54.775772347188635,54.852665832290356,52.981040548741696,2000000.0,5262832.0,2661.0,1331.0,1331.0,17.0,3826.031555221638,0.0,1.0334581717869284
Sección 2.3.1 -> Semilla 5

learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,0.759577,6.550784981706075E-8,100000.0,89.717,79.4350879496552,79.32566649242028,78.58778943861402,100000.0,333368.0,169.0,85.0,85.0,12.0,0.0,0.0,1.0
200000.0,1.297844,1.6008648911077118E-7,200000.0,86.25500000000001,72.51064541980726,72.45408178602564,71.4089590115342,200000.0,679200.0,345.0,173.0,173.0,12.0,0.0,0.0,1.0
300000.0,1.770053,2.798216701568001E-7,300000.0,85.68666666666667,71.41289096145691,71.3590128397532,70.2274886117024,300000.0,980144.0,499.0,250.0,250.0,14.0,0.0,0.0,1.0
400000.0,2.224445,4.23655848008477E-7,400000.0,84.75399999999999,69.53684750873573,69.47732471133489,68.27649347676812,400000.0,1223584.0,619.0,310.0,310.0,14.0,0.0,0.0,1.0
500000.0,2.734714,6.212090087599224E-7,500000.0,82.9476,65.88678301946264,65.87841217879196,64.4945822818546,500000.0,1496536.0,761.0,381.0,381.0,15.0,0.0,0.0,1.0
600000.0,3.231989,8.488393220388226E-7,600000.0,82.69216666666667,65.36833115198962,65.3414722873954,63.97666133614545,600000.0,1769440.0,895.0,448.0,448.0,15.0,0.0,0.0,1.0
700000.0,3.709437,1.0994970458663171E-6,700000.0,81.56714285714285,63.10175999373362,63.104031019721894,61.65470512191861,700000.0,2029352.0,1027.0,514.0,514.0,15.0,0.0,0.0,1.0
800000.0,4.229842,1.4039797068987455E-6,800000.0,80.49775,60.944111254584755,60.962708675287246,59.41808080072415,800000.0,2261640.0,1147.0,574.0,574.0,15.0,0.0,0.0,1.0
900000.0,4.752858,1.7520589427505102E-6,900000.0,80.20811111111111,60.3625421996555,60.376686960989964,58.81799434035548,900000.0,2572560.0,1301.0,651.0,651.0,16.0,0.0,0.0,1.0
1000000.0,5.374378,2.2049862281833255E-6,1000000.0,79.6246,59.17530902069852,59.20391634714534,57.571580284447045,1000000.0,2816928.0,1431.0,716.0,716.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1100000.0,5.879903,2.6116942901888652E-6,1100000.0,79.30181818181819,58.52428630166451,58.560011357410815,56.89886908750849,1100000.0,3109872.0,1573.0,787.0,787.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1200000.0,6.418789,3.07615106060894E-6,1200000.0,79.065,58.03884577567167,58.08256343428646,56.390867808190634,1200000.0,3331584.0,1687.0,844.0,844.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1300000.0,6.90618,3.526860603963335E-6,1300000.0,78.55623076923078,57.00816075286741,57.063315548874414,55.338578589932766,1300000.0,3574552.0,1803.0,902.0,902.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1400000.0,7.407453,4.026780971412857E-6,1400000.0,78.51685714285715,56.926968162355415,56.999129299708194,55.24771450338063,1400000.0,3855040.0,1953.0,977.0,977.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1500000.0,7.923589,4.578195470596353E-6,1500000.0,78.37906666666666,56.644490343437795,56.7100526317897,54.96139317853571,1500000.0,4129680.0,2083.0,1042.0,1042.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1600000.0,8.429663,5.148845480419695E-6,1600000.0,78.179625,56.23409782027282,56.29757495265192,54.52827411769149,1600000.0,4358712.0,2211.0,1106.0,1106.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1700000.0,8.945781,5.764025969405968E-6,1700000.0,78.1484705882353,56.173794235775134,56.237320961969374,54.45851165949684,1700000.0,4607400.0,2331.0,1166.0,1166.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1800000.0,9.464677,6.411766677565044E-6,1800000.0,77.8921111111111,55.65427189668869,55.72440096841954,53.90204262249885,1800000.0,4825288.0,2439.0,1220.0,1220.0,17.0,3806.2346368715084,0.0,1.0336349065631807
1900000.0,9.989048,7.092781589983238E-6,1900000.0,77.6741052631579,55.21786877519755,55.28801407368448,53.443000074633105,1900000.0,5020192.0,2549.0,1275.0,1275.0,17.0,3806.2346368715084,0.0,1.0336349065631807
2000000.0,10.623197,7.956174440255595E-6,2000000.0,77.45455,54.775772347188635,54.852665832290356,52.981040548741696,2000000.0,5262832.0,2661.0,1331.0,1331.0,17.0,3826.031555221638,0.0,1.0334581717869284
Fin Sección 2.3.1

Sección 2.3.2 -> Semilla 2

learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,1.378117,6.297566692034404E-9,100000.0,96.515,93.02210453360902,92.99328481241706,92.74321172746959,100000.0,17664.0,156.0,23.0,23.0,2.0,0.0,0.0,1.0
200000.0,2.39342,1.1319618477589555E-8,200000.0,96.229,92.45075607996583,92.44265859695182,92.15592465860279,200000.0,19120.0,371.0,86.0,86.0,2.0,0.0,0.0,1.0
300000.0,3.368916,1.7156235546701485E-8,300000.0,96.29133333333333,92.57685008269253,92.57895614473904,92.28577173483467,300000.0,23128.0,573.0,161.0,161.0,2.0,0.0,0.0,1.0
400000.0,4.332981,2.0310701195978456E-8,400000.0,96.255,92.50356739289096,92.5024649773022,92.2074949541189,400000.0,12648.0,788.0,231.0,231.0,1.0,0.0,0.0,1.0
500000.0,5.369619,2.174170429714852E-8,500000.0,96.1894,92.37198517060686,92.37504852387374,92.06581215800915,500000.0,5336.0,978.0,271.0,271.0,0.0,0.0,0.0,1.0
600000.0,6.302111,2.5881320016665593E-8,600000.0,96.30733333333333,92.60809642861652,92.60552216240751,92.31433655824087,600000.0,17160.0,1223.0,384.0,384.0,1.0,0.0,0.0,1.0
700000.0,7.340704,3.740252217691806E-8,700000.0,96.27071428571429,92.53534959388803,92.53530752359792,92.24208383482667,700000.0,42880.0,1487.0,479.0,479.0,4.0,0.0,0.0,1.0
800000.0,8.291095,5.160969116207626E-8,800000.0,96.307,92.60784899373495,92.607790544057,92.31529553754434,800000.0,57784.0,1721.0,565.0,565.0,4.0,0.0,0.0,1.0
900000.0,9.257,5.713704371410939E-8,900000.0,96.2851111111111,92.56420644550435,92.56280155088076,92.27023877781271,900000.0,22120.0,1925.0,633.0,633.0,2.0,0.0,0.0,1.0
1000000.0,10.202256,6.309399921654E-8,1000000.0,96.2456,92.48481666772777,92.48285597012683,92.18207942027779,1000000.0,24360.0,2124.0,700.0,700.0,3.0,0.0,0.0,1.0
1100000.0,11.134884,7.59547368830277E-8,1100000.0,96.28245454545454,92.55858589665166,92.55707371942464,92.25872036891903,1100000.0,53304.0,2346.0,780.0,780.0,4.0,0.0,0.0,1.0
1200000.0,12.092874,8.122861669916246E-8,1200000.0,96.2535,92.50046561694447,92.4985108147387,92.1957671957672,1200000.0,21280.0,2530.0,821.0,821.0,3.0,0.0,0.0,1.0
1300000.0,13.090164,9.092527502733801E-8,1300000.0,96.22661538461539,92.44663156222781,92.44458272237762,92.14108682870248,1300000.0,37584.0,2794.0,928.0,928.0,4.0,0.0,0.0,1.0
1400000.0,14.004099,9.391571297827695E-8,1400000.0,96.2695,92.53215045599691,92.53299439406265,92.22886510808493,1400000.0,12648.0,2958.0,962.0,962.0,1.0,0.0,0.0,1.0
1500000.0,14.950964,9.835233164744246E-8,1500000.0,96.22553333333333,92.44413467292645,92.44267299547364,92.13740139984446,1500000.0,18112.0,3169.0,1032.0,1032.0,2.0,0.0,0.0,1.0
1600000.0,15.895495,1.013197283115652E-7,1600000.0,96.24575,92.48451860597417,92.48088865411312,92.17647602785668,1600000.0,12144.0,3391.0,1117.0,1117.0,1.0,0.0,0.0,1.0
1700000.0,16.817779,1.0385647599067955E-7,1700000.0,96.26794117647059,92.52897452211045,92.5256997179687,92.22189393725778,1700000.0,10632.0,3548.0,1136.0,1136.0,1.0,0.0,0.0,1.0
1800000.0,17.815908,1.108923642544283E-7,1800000.0,96.2538888888889,92.50075508640859,92.49764125752128,92.1888484604166,1800000.0,27248.0,3762.0,1187.0,1187.0,3.0,0.0,0.0,1.0
1900000.0,18.810614,1.2736361673308744E-7,1900000.0,96.247,92.4868995212139,92.48388093022079,92.17373266426964,1900000.0,64008.0,3952.0,1238.0,1238.0,4.0,0.0,0.0,1.0
